	Location		Label
	0011a328		ReadNuIFFGeomDef
	0011a370		ReadNuIFFGeomVtx
	0011a4a8		ReadNuIFFGeomCntrl
	0011a518		ReadNuIFFGeomPrim
	0011a638		ReadNuIFFGeomTri
	0011a6b0		ReadNuIFFGeomBezTri
	0011a728		ReadNuIFFFaceOnGeom
	0011a7b0		CreateStateBlock
	0011ab98		NuMtlAnimate
	0011aea0		NuMtlBuildRenderList
	0011b050		NuMtlCreateDefault
	0011b178		NuMtlAlloc
	0011b278		NuMtlCreate
	0011b400		NuMtlRead
	0011b998		NuMtlUpdateEx
	0011bce8		NuMtlValid
	0011bd00		NuMtlInit
	0011bd48		NuMtlGetSysBuffSize
	0011bd58		NuMtlInitEx
	0011be30		NuMtlClose
	0011beb8		NuMtlRelease
	0011bf30		NuMtlDestroy
	0011bfe0		NuMtlUpdate
	0011c000		NuMtlWrite
	0011c020		NuMtlReadEventSetHandler
	0011c048		NuMtlGetStateBlockDma
	0011c050		NuMtlGetZupd
	0011c068		NuMtlAdd
	0011c170		NuMtlIterate
	0011c1b0		NuMtlRemove
	0011c208		NuMtlReadEventDefault
	0011c210		NuMtlInsert
	0011c2e0		NuMtlUpdateAll
	0011c360		NuMtlDisplayMtl
	0011c440		NuTexReadBitmapMMEx
	0011ca40		NuTexReadBitmapMem
	0011ce68		NuTexSetRenderTarget
	0011cfb8		NuTexCreateEx
	0011d1b0		NuTexCreateStream
	0011d300		NuTexAccomodateRS
	0011d430		NuTexAccomodate
	0011d590		NuTexSet
	0011d6f8		NuTexDisplayTexturePage
	0011da68		NuTexRecoverNativeDataEx
	0011dd40		NuTexCreateNative
	0011e180		NuTexWriteMaterialSettings
	0011e2e8		NuTexGetSysBuffSize
	0011e2f8		NuTexInitEx
	0011e3c0		NuTexInit
	0011e480		NuTexClose
	0011e540		NuTexReserve
	0011e5b0		NuTexUnReserve
	0011e5e0		NuTexReadBitmap
	0011e608		NuTexReadBitmapMM
	0011e628		NuTexCreate
	0011e648		NuTexDestroy
	0011e700		NuTexRef
	0011e738		NuTexUnRef
	0011e770		NuTexType
	0011e798		NuTexWidth
	0011e7c0		NuTexHeight
	0011e7e8		NuTexHasAlpha
	0011e828		NuTexAlphaBits
	0011e878		NuTexPixelSize
	0011e8d0		NuTexImgSize
	0011e938		NuTexImgSizeMM
	0011ea20		NuTexPalSize
	0011ea50		NuTexRecoverNativeData
	0011ea78		NuTexReadNative
	0011eaf0		NuTexGetPointers
	0011eb48		NuTexFlushTemp
	0011eb58		NuTexAssignAddr
	0011eb80		NuTexAssignTempAddr
	0011ebd0		NuTexGetReqSize
	0011ec08		NuTexCloneTempAddr
	0011ec48		NuTexPalChange
	0011ec80		NuTexPalChangeStreamTemp
	0011ecb8		NuTexGetTex0
	0011ed10		NuTexSetPal
	0011ee30		NuTexSetZBuffer
	0011eea8		NuTexGetTextAddr
	0011eee0		NuRndrSetZBuffer
	0011f068		NuRndrSetRTarget
	0011f280		NuRndrClear
	0011f720		NuRndrGradClear
	0011fcd8		NuRndrGScnObj
	001200f0		NuRndrGobj
	120440		NuRndrFxBlueAndGreenData
	120680		NuRndrFxSpriteSet
	120928		NuRndrFxSprite2Set
	00120d10		NuRndrFxCode
	001210d0		NuRndrGobjSkin
	121348		NuRndrShadowInit
	001214d8		NuRndrStreamQuad3dClip
	121838		NuRndrOTInit
	121948		NuRndrOTInsertTriBatch
	00121d90		NuRndrOTFlush
	00121f18		NuRndrStreamTriStrip3dClip
	122308		NuRndrStreamTri3dClip
	122700		NuRndrCylCapMakeData
	00122a38		NuRndrCylMakeData
	00122c58		NuRndrShadowCylinderCap
	001230c0		NuRndrShadowEllipse
	123510		NuRndrShadowPols
	124068		NuRndrShadowCylinderCap2
	00124df0		NuRndrShadowStack
	125030		NuHGobjRndrMtxDwa
	001254b8		NuHGobjEval
	001257c8		NuHGobjEvalAnim
	00125ac0		NuHGobjEvalAnim2
	00125da8		NuHGobjRndrAnim
	001263d0		NuHGobjEvalDwa
	001265d0		NuHGobjEvalDwa2
	126778		NuHGobjEvalDwaBlend
	00126aa0		NuHGobjEvalDwaBlend2
	00126d58		NuHGobjEvalAnimBlend
	127068		NuHGobjEvalAnimBlend2
	127370		NuHGobjRndrAnimBlend
	001277f8		NuRndrLine2d
	00127a50		NuRndrLineStrip2d
	00127cb8		ClipLinePoint
	00127f80		NuRndrLine3d
	001283c0		NuRndrTri2d
	128618		NuRndrTriStrip2d
	128880		NuRndrTriStrip3d
	00128a90		NuRndrRect2di
	00128d88		NuRndrGradRect2di
	129208		NuRndrRectUV2di
	129530		NuRndrLine2di
	129788		NuRndrLineRect2di
	00129ae8		NuRndrTri2di
	00129db0		NuRndrTriStrip2di
	0012a060		NuRndrLineStrip2di
	0012a310		NuRndrQuad2d
	0012a578		NuRndrTriStripGif
	0012a808		NuRndrOldFaceOn
	0012ac80		NuRndrFaceOn
	0012b0b8		NuRndrFaceY
	0012b458		NuRndrRectUV3di
	0012b6b8		NuRndrRectUVStream
	0012b908		NuRndrWater
	0012ca40		NuRndrShadow
	0012d080		NuRndrShadowLightFan
	0012d3f8		NuRndrShadowStencil
	0012d9b0		NuRndrTrail
	0012e048		NuRndrAddFootPrint
	0012e3a8		NuRndrFootPrints
	0012e658		NuRndrStreamQuadShad
	0012eca0		NuRndrWaterRippleUpdate
	0012edd0		NuRndrStreamQuadWRip
	0012f488		NuHGobjRndr
	0012f508		NuHGobjRndrMtx
	0012f528		NuRndrInitEx
	0012f5b8		NuRndrInit
	0012f648		NuRndrClose
	0012f650		NuRndrBeginScene
	0012f710		NuRndrBeginSceneEx
	0012f7d8		NuRndrEndScene
	0012f808		NuRndrEndSceneEx
	0012f858		NuRndrSwapScreen
	0012f8e0		NuRndrGlobalMtl
	0012f8e8		NuRndrFogColour
	0012f8f0		NuRndrFogDistance
	0012f8f8		NuRndrFogMode
	0012f900		NuRndrParticleGroup
	0012fab0		NuRndrStarfield
	0012fae0		NuRndrRect
	0012fc38		NuRndrLine3dDbg
	0012fc40		NuRndrLine3dDbgFlush
	0012fc48		NuRndrTri3dClip
	0012fc70		NuRndrTriStrip3dClip
	0012fc98		NuRndrQuad3d
	0012fca0		NuRndrFlush
	0012fcf0		NuRndrShadowOnOff
	0012fcf8		NuRndrRectUV3diNS
	0012fe48		NuRndrFx
	0012fec0		NuRndrShadowDirCol
	0012ff00		NuRndrWaterLevelTint
	0012ff10		NuRndrAddShadow
	0012ffe8		NuRndrShadPolys
	130078		NuRndrAddWaterRipple
	001300f0		NuRndrWaterRip
	001301e8		NuRndrInitWorld
	130218		NuRndrSplineSearch
	130260		NuRndrCreateBlendShapeDeformerWeightsArray
	001302e8		NuRndrDeformerWeightsArrayInit
	130330		NuRndrFxBlueOrGreenData
	130480		NuRndrOTInsertItem
	001304d8		OTTriInit
	130508		OTTriInsert
	130588		GlobalCam3DNClip
	130608		RotateCyl
	001306d0		DeRotateVectorAngles
	130768		NuRndrTest
	130770		NuRndrAnglesZX
	001307f0		NuFntLoad
	00130a30		NuFntLoadMem
	00130c48		NuFntCreate
	001312c8		NuFntPrintChar
	131488		NuFntPrintV
	131778		NuFntPrint
	001317d8		NuFntPrintLen
	131900		NuFntPrintEx
	00131b30		NuFntInit
	00131bb8		NuFntClose
	00131c20		NuFntSet
	00131c60		NuFntDestroy
	00131cc0		NuFntScale
	00131cf8		NuFntMoveAbs
	00131d40		NuFntMoveRel
	00131d60		NuFntPos
	00131da8		NuFntSetPen
	00131de0		NuFntPrintLenV
	00131ed8		NuLightMatInit
	00134fa8		NuLightInit
	135628		NuLightUpdate
	135790		NuLightFxSetup
	00135b00		NuLightProcessSpot
	001395d0		NuLightHaze
	0013ad88		NuLightPolyHaze
	0013ca30		NuLightFogDraw
	0013f0b0		NuLigthSetModeMask
	0013f250		NuLgtArcLaserDraw
	0013fdb8		NuLightClose
	0013fdc0		NuLightCreate
	0013fe08		NuLightDestroy
	0013fe60		NuLightGetLight
	0013fe78		NuLigthSetPolyHazeMat
	0013fed0		NuLightAddSpot
	0013ff50		NuLightAddSpotXSpanFade
	0013ffd8		NuLightFog
	0013fff8		NuLightFogClear
	140000		NuLgtArcLaser
	140110		NuLgtSetArcMat
	140128		NuLightAddHazePoly
	140188		NuLightSprDmaOpen
	140218		NuLightSprDmaClose
	140248		NuLightSprMake
	140330		NuLgtRand
	140350		NuAnimDataWrite
	140698		NuAnimDataRead
	00140a48		NuAnimDataLoad
	00140b88		NuAnimDataFixPtrs
	00140d80		NuAnimData2FixPtrs
	00140ec8		NuAnimDataCalcTime
	141030		NuAnimData2CalcTime
	141198		NuAnimCurveCalcVal2
	141338		NuAnimCurve2CalcVal
	141620		NuAnimCurveSetApplyToJoint
	001419b8		NuAnimCurveSetApplyBlendToJoint
	00141fa8		NuAnimCurveSetApplyBlendToJoint2
	142818		NuAnimCurve2SetApplyBlendToJoint2
	143028		NuAnimCurveSetApplyToJoint2
	143630		NuAnimCurve2SetApplyToJoint
	00143b90		NuAnimCurveSetApplyToJointBasic
	00143ee8		NuAnimCurve2SetApplyToJointBasic
	144208		NuAnimCurveSetApplyToMatrix
	144470		NuAnimCurve2SetApplyToMatrix
	144638		NuAnimDataLoadBuff
	001446e8		NuAnimDataDestroy
	144778		NuAnimDataCreate
	001447e8		NuAnimCurveSetCreate
	001448a8		NuAnimCurveSetDestroy
	144990		NuAnimCurveSetWrite
	00144b18		NuAnimCurveCreate
	00144bc8		NuAnimCurveDestroy
	00144c18		NuAnimCurveWrite
	00144d00		NuAnimCurveRead
	00144dd8		NuAnimKeyWrite
	00144e38		NuAnimKeyRead
	00144e98		NuAnimDataChunkCreate
	00144f48		NuAnimDataChunkDestroy
	145018		buildBitCountTable
	145080		okdokey
	145088		NuAnimCurveScale
